OrderDate,ProductKey,Country,EnglishProductName,SalesAmount,TaxAmt
02-01-2021,222,France,"Sport-100 Helmet, Blue",34.99,2.7992
03-01-2021,480,Australia,Patch Kit/8 Patches,2.29,0.1832
03-01-2021,217,India,"Sport-100 Helmet, Black",34.99,2.7992
03-01-2021,569,Germany,"Touring-3000 Yellow, 50",742.35,59.388
03-01-2021,375,France,"Road-250 Black, 48",2181.5625,174.525
05-01-2021,566,Australia,"Touring-3000 Blue, 58",742.35,59.388
06-01-2021,538,France,LL Road Tire,21.49,1.7192
06-01-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
07-01-2021,485,Australia,Fender Set - Mountain,21.98,1.7584
08-01-2021,528,Australia,Mountain Tire Tube,4.99,0.3992
09-01-2021,489,France,"Short-Sleeve Classic Jersey, M",53.99,4.3192
12-01-2021,481,Italy,"Racing Socks, M",8.99,0.7192
13-01-2021,485,Germany,Fender Set - Mountain,21.98,1.7584
13-01-2021,474,Italy,"Women's Mountain Shorts, S",69.99,5.5992
15-01-2021,478,France,Mountain Bottle Cage,9.99,0.7992
18-01-2021,214,United States,"Sport-100 Helmet, Red",34.99,2.7992
18-01-2021,537,Italy,HL Mountain Tire,35,2.8
19-01-2021,529,India,Road Tire Tube,3.99,0.3192
19-01-2021,465,India,"Half-Finger Gloves, M",24.49,1.9592
20-01-2021,582,Australia,"Road-350-W Yellow, 44",1700.99,136.0792
20-01-2021,528,India,Mountain Tire Tube,4.99,0.3992
21-01-2021,353,Germany,"Mountain-200 Silver, 38",2319.99,185.5992
21-01-2021,536,India,ML Mountain Tire,29.99,2.3992
23-01-2021,480,United States,Patch Kit/8 Patches,2.29,0.1832
24-01-2021,310,India,"Road-150 Red, 62",3578.27,286.2616
30-01-2021,538,Australia,LL Road Tire,21.49,1.7192
01-02-2021,360,Australia,"Mountain-200 Black, 42",2049.0982,163.9279
01-02-2021,478,Australia,Mountain Bottle Cage,9.99,0.7992
02-02-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
02-02-2021,234,Australia,"Long-Sleeve Logo Jersey, L",49.99,3.9992
04-02-2021,473,Italy,"Classic Vest, L",63.5,5.08
05-02-2021,222,France,"Sport-100 Helmet, Blue",34.99,2.7992
06-02-2021,477,Germany,Water Bottle - 30 oz.,4.99,0.3992
06-02-2021,562,Canada,"Touring-1000 Yellow, 50",2384.07,190.7256
07-02-2021,485,United States,Fender Set - Mountain,21.98,1.7584
07-02-2021,214,Canada,"Sport-100 Helmet, Red",34.99,2.7992
08-02-2021,225,France,AWC Logo Cap,8.99,0.7192
09-02-2021,535,Canada,LL Mountain Tire,24.99,1.9992
09-02-2021,484,Italy,Bike Wash - Dissolver,7.95,0.636
13-02-2021,535,Germany,LL Mountain Tire,24.99,1.9992
17-02-2021,528,France,Mountain Tire Tube,4.99,0.3992
17-02-2021,590,United States,"Mountain-400-W Silver, 46",769.49,61.5592
17-02-2021,529,United States,Road Tire Tube,3.99,0.3192
17-02-2021,467,Canada,"Half-Finger Gloves, L",24.49,1.9592
17-02-2021,539,France,ML Road Tire,24.99,1.9992
21-02-2021,477,Germany,Water Bottle - 30 oz.,4.99,0.3992
21-02-2021,477,United States,Water Bottle - 30 oz.,4.99,0.3992
21-02-2021,485,Italy,Fender Set - Mountain,21.98,1.7584
25-02-2021,214,Canada,"Sport-100 Helmet, Red",34.99,2.7992
25-02-2021,537,Canada,HL Mountain Tire,35,2.8
25-02-2021,528,France,Mountain Tire Tube,4.99,0.3992
26-02-2021,477,Germany,Water Bottle - 30 oz.,4.99,0.3992
27-02-2021,477,Canada,Water Bottle - 30 oz.,4.99,0.3992
27-02-2021,222,United States,"Sport-100 Helmet, Blue",34.99,2.7992
27-02-2021,222,United States,"Sport-100 Helmet, Blue",34.99,2.7992
28-02-2021,382,Australia,"Road-550-W Yellow, 38",1120.49,89.6392
28-02-2021,465,India,"Half-Finger Gloves, M",24.49,1.9592
02-03-2021,225,Australia,AWC Logo Cap,8.99,0.7192
03-03-2021,477,Italy,Water Bottle - 30 oz.,4.99,0.3992
03-03-2021,528,United States,Mountain Tire Tube,4.99,0.3992
04-03-2021,528,France,Mountain Tire Tube,4.99,0.3992
05-03-2021,529,Italy,Road Tire Tube,3.99,0.3192
07-03-2021,353,Canada,"Mountain-200 Silver, 38",2319.99,185.5992
07-03-2021,214,Canada,"Sport-100 Helmet, Red",34.99,2.7992
08-03-2021,479,India,Road Bottle Cage,8.99,0.7192
08-03-2021,359,India,"Mountain-200 Black, 38",2294.99,183.5992
09-03-2021,528,Italy,Mountain Tire Tube,4.99,0.3992
10-03-2021,222,France,"Sport-100 Helmet, Blue",34.99,2.7992
10-03-2021,481,Canada,"Racing Socks, M",8.99,0.7192
10-03-2021,237,United States,"Long-Sleeve Logo Jersey, XL",49.99,3.9992
11-03-2021,485,France,Fender Set - Mountain,21.98,1.7584
14-03-2021,217,United States,"Sport-100 Helmet, Black",34.99,2.7992
14-03-2021,605,Australia,"Road-750 Black, 48",539.99,43.1992
16-03-2021,217,Italy,"Sport-100 Helmet, Black",34.99,2.7992
17-03-2021,605,France,"Road-750 Black, 48",539.99,43.1992
18-03-2021,584,Italy,"Road-750 Black, 58",539.99,43.1992
18-03-2021,528,India,Mountain Tire Tube,4.99,0.3992
19-03-2021,477,Italy,Water Bottle - 30 oz.,4.99,0.3992
22-03-2021,536,India,ML Mountain Tire,29.99,2.3992
22-03-2021,480,United States,Patch Kit/8 Patches,2.29,0.1832
24-03-2021,484,Germany,Bike Wash - Dissolver,7.95,0.636
24-03-2021,222,Italy,"Sport-100 Helmet, Blue",34.99,2.7992
25-03-2021,355,United States,"Mountain-200 Silver, 42",2319.99,185.5992
26-03-2021,482,France,"Racing Socks, L",8.99,0.7192
26-03-2021,541,India,Touring Tire,28.99,2.3192
28-03-2021,475,India,"Women's Mountain Shorts, M",69.99,5.5992
30-03-2021,472,Australia,"Classic Vest, M",63.5,5.08
02-04-2021,479,India,Road Bottle Cage,8.99,0.7192
03-04-2021,536,United States,ML Mountain Tire,29.99,2.3992
03-04-2021,214,India,"Sport-100 Helmet, Red",34.99,2.7992
03-04-2021,471,United States,"Classic Vest, S",63.5,5.08
06-04-2021,491,Italy,"Short-Sleeve Classic Jersey, XL",53.99,4.3192
08-04-2021,477,United States,Water Bottle - 30 oz.,4.99,0.3992
09-04-2021,467,United States,"Half-Finger Gloves, L",24.49,1.9592
11-04-2021,536,France,ML Mountain Tire,29.99,2.3992
13-04-2021,584,India,"Road-750 Black, 58",539.99,43.1992
17-04-2021,529,India,Road Tire Tube,3.99,0.3192
17-04-2021,386,France,"Road-550-W Yellow, 42",1120.49,89.6392
18-04-2021,528,Germany,Mountain Tire Tube,4.99,0.3992
19-04-2021,490,France,"Short-Sleeve Classic Jersey, L",53.99,4.3192
19-04-2021,536,Italy,ML Mountain Tire,29.99,2.3992
23-04-2021,480,France,Patch Kit/8 Patches,2.29,0.1832
25-04-2021,225,India,AWC Logo Cap,8.99,0.7192
26-04-2021,359,Australia,"Mountain-200 Black, 38",2294.99,183.5992
26-04-2021,478,Australia,Mountain Bottle Cage,9.99,0.7992
26-04-2021,485,Canada,Fender Set - Mountain,21.98,1.7584
27-04-2021,561,France,"Touring-1000 Yellow, 46",2384.07,190.7256
28-04-2021,486,India,All-Purpose Bike Stand,159,12.72
29-04-2021,480,Australia,Patch Kit/8 Patches,2.29,0.1832
30-04-2021,225,Canada,AWC Logo Cap,8.99,0.7192
02-05-2021,222,Italy,"Sport-100 Helmet, Blue",34.99,2.7992
02-05-2021,472,United States,"Classic Vest, M",63.5,5.08
02-05-2021,528,India,Mountain Tire Tube,4.99,0.3992
03-05-2021,567,Germany,"Touring-3000 Blue, 62",742.35,59.388
05-05-2021,214,France,"Sport-100 Helmet, Red",34.99,2.7992
06-05-2021,490,United States,"Short-Sleeve Classic Jersey, L",53.99,4.3192
07-05-2021,485,Germany,Fender Set - Mountain,21.98,1.7584
08-05-2021,471,United States,"Classic Vest, S",63.5,5.08
10-05-2021,217,Canada,"Sport-100 Helmet, Black",34.99,2.7992
10-05-2021,485,Australia,Fender Set - Mountain,21.98,1.7584
11-05-2021,530,India,Touring Tire Tube,4.99,0.3992
13-05-2021,222,Canada,"Sport-100 Helmet, Blue",34.99,2.7992
14-05-2021,536,France,ML Mountain Tire,29.99,2.3992
15-05-2021,528,Canada,Mountain Tire Tube,4.99,0.3992
16-05-2021,214,France,"Sport-100 Helmet, Red",34.99,2.7992
16-05-2021,528,Germany,Mountain Tire Tube,4.99,0.3992
16-05-2021,310,India,"Road-150 Red, 62",3578.27,286.2616
18-05-2021,237,United States,"Long-Sleeve Logo Jersey, XL",49.99,3.9992
19-05-2021,225,Australia,AWC Logo Cap,8.99,0.7192
21-05-2021,478,Italy,Mountain Bottle Cage,9.99,0.7992
22-05-2021,465,United States,"Half-Finger Gloves, M",24.49,1.9592
22-05-2021,354,India,"Mountain-200 Silver, 42",2071.4196,165.7136
25-05-2021,483,Italy,Hitch Rack - 4-Bike,120,9.6
25-05-2021,485,Australia,Fender Set - Mountain,21.98,1.7584
25-05-2021,225,France,AWC Logo Cap,8.99,0.7192
25-05-2021,222,Italy,"Sport-100 Helmet, Blue",34.99,2.7992
27-05-2021,341,Germany,"Road-650 Black, 48",782.99,62.6392
28-05-2021,463,United States,"Half-Finger Gloves, S",24.49,1.9592
28-05-2021,535,Australia,LL Mountain Tire,24.99,1.9992
30-05-2021,539,France,ML Road Tire,24.99,1.9992
31-05-2021,485,United States,Fender Set - Mountain,21.98,1.7584
01-06-2021,222,Germany,"Sport-100 Helmet, Blue",34.99,2.7992
02-06-2021,487,Canada,Hydration Pack - 70 oz.,54.99,4.3992
03-06-2021,353,India,"Mountain-200 Silver, 38",2319.99,185.5992
03-06-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
04-06-2021,528,France,Mountain Tire Tube,4.99,0.3992
04-06-2021,605,Italy,"Road-750 Black, 48",539.99,43.1992
05-06-2021,491,Italy,"Short-Sleeve Classic Jersey, XL",53.99,4.3192
05-06-2021,480,Canada,Patch Kit/8 Patches,2.29,0.1832
06-06-2021,529,India,Road Tire Tube,3.99,0.3192
06-06-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
10-06-2021,529,France,Road Tire Tube,3.99,0.3192
11-06-2021,225,Canada,AWC Logo Cap,8.99,0.7192
12-06-2021,478,Canada,Mountain Bottle Cage,9.99,0.7992
13-06-2021,214,Canada,"Sport-100 Helmet, Red",34.99,2.7992
13-06-2021,377,Canada,"Road-250 Black, 52",2181.5625,174.525
13-06-2021,231,Italy,"Long-Sleeve Logo Jersey, M",49.99,3.9992
17-06-2021,475,Australia,"Women's Mountain Shorts, M",69.99,5.5992
18-06-2021,214,Italy,"Sport-100 Helmet, Red",34.99,2.7992
18-06-2021,478,India,Mountain Bottle Cage,9.99,0.7992
19-06-2021,540,United States,HL Road Tire,32.6,2.608
19-06-2021,477,Canada,Water Bottle - 30 oz.,4.99,0.3992
20-06-2021,312,Canada,"Road-150 Red, 48",3578.27,286.2616
20-06-2021,540,United States,HL Road Tire,32.6,2.608
23-06-2021,487,Australia,Hydration Pack - 70 oz.,54.99,4.3992
24-06-2021,351,Canada,"Mountain-100 Black, 48",3374.99,269.9992
28-06-2021,529,Germany,Road Tire Tube,3.99,0.3192
29-06-2021,477,Italy,Water Bottle - 30 oz.,4.99,0.3992
29-06-2021,477,Canada,Water Bottle - 30 oz.,4.99,0.3992
29-06-2021,214,Germany,"Sport-100 Helmet, Red",34.99,2.7992
01-07-2021,489,United States,"Short-Sleeve Classic Jersey, M",53.99,4.3192
01-07-2021,325,Australia,"Road-650 Red, 62",782.99,62.6392
02-07-2021,225,France,AWC Logo Cap,8.99,0.7192
02-07-2021,353,Germany,"Mountain-200 Silver, 38",2319.99,185.5992
02-07-2021,463,United States,"Half-Finger Gloves, S",24.49,1.9592
04-07-2021,477,France,Water Bottle - 30 oz.,4.99,0.3992
04-07-2021,485,United States,Fender Set - Mountain,21.98,1.7584
04-07-2021,373,Italy,"Road-250 Black, 44",2181.5625,174.525
05-07-2021,222,Australia,"Sport-100 Helmet, Blue",34.99,2.7992
05-07-2021,530,Australia,Touring Tire Tube,4.99,0.3992
05-07-2021,361,France,"Mountain-200 Black, 42",2294.99,183.5992
06-07-2021,361,Italy,"Mountain-200 Black, 42",2294.99,183.5992
06-07-2021,363,United States,"Mountain-200 Black, 46",2294.99,183.5992
08-07-2021,529,France,Road Tire Tube,3.99,0.3192
08-07-2021,369,Australia,"Road-250 Red, 48",2443.35,195.468
08-07-2021,237,Italy,"Long-Sleeve Logo Jersey, XL",49.99,3.9992
10-07-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
10-07-2021,477,France,Water Bottle - 30 oz.,4.99,0.3992
11-07-2021,214,Germany,"Sport-100 Helmet, Red",34.99,2.7992
14-07-2021,363,India,"Mountain-200 Black, 46",2294.99,183.5992
15-07-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
16-07-2021,488,Italy,"Short-Sleeve Classic Jersey, S",53.99,4.3192
18-07-2021,528,Canada,Mountain Tire Tube,4.99,0.3992
18-07-2021,490,India,"Short-Sleeve Classic Jersey, L",53.99,4.3192
19-07-2021,328,Australia,"Road-650 Red, 48",699.0982,55.9279
22-07-2021,487,Italy,Hydration Pack - 70 oz.,54.99,4.3992
24-07-2021,485,Australia,Fender Set - Mountain,21.98,1.7584
24-07-2021,480,Australia,Patch Kit/8 Patches,2.29,0.1832
24-07-2021,481,Germany,"Racing Socks, M",8.99,0.7192
24-07-2021,483,United States,Hitch Rack - 4-Bike,120,9.6
25-07-2021,485,United States,Fender Set - Mountain,21.98,1.7584
26-07-2021,214,United States,"Sport-100 Helmet, Red",34.99,2.7992
28-07-2021,477,Australia,Water Bottle - 30 oz.,4.99,0.3992
28-07-2021,528,Italy,Mountain Tire Tube,4.99,0.3992
29-07-2021,530,France,Touring Tire Tube,4.99,0.3992
29-07-2021,359,India,"Mountain-200 Black, 38",2294.99,183.5992
30-07-2021,372,Germany,"Road-250 Red, 58",2443.35,195.468
30-07-2021,606,France,"Road-750 Black, 52",539.99,43.1992
31-07-2021,476,France,"Women's Mountain Shorts, L",69.99,5.5992
01-08-2021,352,Italy,"Mountain-200 Silver, 38",2071.4196,165.7136
04-08-2021,225,France,AWC Logo Cap,8.99,0.7192
04-08-2021,530,India,Touring Tire Tube,4.99,0.3992
07-08-2021,475,India,"Women's Mountain Shorts, M",69.99,5.5992
07-08-2021,583,Australia,"Road-350-W Yellow, 48",1700.99,136.0792
11-08-2021,363,Australia,"Mountain-200 Black, 46",2294.99,183.5992
11-08-2021,480,France,Patch Kit/8 Patches,2.29,0.1832
13-08-2021,486,India,All-Purpose Bike Stand,159,12.72
13-08-2021,529,Australia,Road Tire Tube,3.99,0.3192
14-08-2021,536,Australia,ML Mountain Tire,29.99,2.3992
14-08-2021,217,India,"Sport-100 Helmet, Black",34.99,2.7992
16-08-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
16-08-2021,485,United States,Fender Set - Mountain,21.98,1.7584
16-08-2021,231,France,"Long-Sleeve Logo Jersey, M",49.99,3.9992
16-08-2021,355,Australia,"Mountain-200 Silver, 42",2319.99,185.5992
17-08-2021,479,India,Road Bottle Cage,8.99,0.7192
18-08-2021,530,France,Touring Tire Tube,4.99,0.3992
20-08-2021,480,France,Patch Kit/8 Patches,2.29,0.1832
21-08-2021,529,Italy,Road Tire Tube,3.99,0.3192
22-08-2021,310,Canada,"Road-150 Red, 62",3578.27,286.2616
22-08-2021,604,Germany,"Road-750 Black, 44",539.99,43.1992
25-08-2021,479,United States,Road Bottle Cage,8.99,0.7192
26-08-2021,214,Australia,"Sport-100 Helmet, Red",34.99,2.7992
27-08-2021,535,Canada,LL Mountain Tire,24.99,1.9992
27-08-2021,529,United States,Road Tire Tube,3.99,0.3192
29-08-2021,529,India,Road Tire Tube,3.99,0.3192
30-08-2021,347,Italy,"Mountain-100 Silver, 48",3399.99,271.9992
30-08-2021,467,Italy,"Half-Finger Gloves, L",24.49,1.9592
05-09-2021,217,Australia,"Sport-100 Helmet, Black",34.99,2.7992
05-09-2021,541,Canada,Touring Tire,28.99,2.3192
06-09-2021,528,India,Mountain Tire Tube,4.99,0.3992
08-09-2021,561,Australia,"Touring-1000 Yellow, 46",2384.07,190.7256
08-09-2021,477,United States,Water Bottle - 30 oz.,4.99,0.3992
08-09-2021,477,France,Water Bottle - 30 oz.,4.99,0.3992
10-09-2021,225,United States,AWC Logo Cap,8.99,0.7192
10-09-2021,480,Canada,Patch Kit/8 Patches,2.29,0.1832
10-09-2021,490,Australia,"Short-Sleeve Classic Jersey, L",53.99,4.3192
12-09-2021,485,Italy,Fender Set - Mountain,21.98,1.7584
13-09-2021,354,France,"Mountain-200 Silver, 42",2071.4196,165.7136
14-09-2021,581,United States,"Road-350-W Yellow, 42",1700.99,136.0792
15-09-2021,217,France,"Sport-100 Helmet, Black",34.99,2.7992
15-09-2021,530,Australia,Touring Tire Tube,4.99,0.3992
15-09-2021,581,France,"Road-350-W Yellow, 42",1700.99,136.0792
19-09-2021,231,Germany,"Long-Sleeve Logo Jersey, M",49.99,3.9992
21-09-2021,485,United States,Fender Set - Mountain,21.98,1.7584
23-09-2021,479,United States,Road Bottle Cage,8.99,0.7192
23-09-2021,361,France,"Mountain-200 Black, 42",2294.99,183.5992
23-09-2021,539,Canada,ML Road Tire,24.99,1.9992
25-09-2021,589,Australia,"Mountain-400-W Silver, 42",769.49,61.5592
25-09-2021,222,France,"Sport-100 Helmet, Blue",34.99,2.7992
25-09-2021,480,Italy,Patch Kit/8 Patches,2.29,0.1832
26-09-2021,588,Australia,"Mountain-400-W Silver, 40",769.49,61.5592
26-09-2021,480,India,Patch Kit/8 Patches,2.29,0.1832
29-09-2021,491,Canada,"Short-Sleeve Classic Jersey, XL",53.99,4.3192
30-09-2021,580,Germany,"Road-350-W Yellow, 40",1700.99,136.0792
01-10-2021,357,India,"Mountain-200 Silver, 46",2319.99,185.5992
01-10-2021,605,Canada,"Road-750 Black, 48",539.99,43.1992
02-10-2021,217,Germany,"Sport-100 Helmet, Black",34.99,2.7992
05-10-2021,589,Italy,"Mountain-400-W Silver, 42",769.49,61.5592
06-10-2021,217,Australia,"Sport-100 Helmet, Black",34.99,2.7992
07-10-2021,585,India,"Touring-3000 Blue, 44",742.35,59.388
07-10-2021,463,Canada,"Half-Finger Gloves, S",24.49,1.9592
07-10-2021,356,Canada,"Mountain-200 Silver, 46",2071.4196,165.7136
09-10-2021,536,India,ML Mountain Tire,29.99,2.3992
10-10-2021,477,United States,Water Bottle - 30 oz.,4.99,0.3992
11-10-2021,214,Canada,"Sport-100 Helmet, Red",34.99,2.7992
12-10-2021,537,India,HL Mountain Tire,35,2.8
13-10-2021,324,India,"Road-650 Red, 62",699.0982,55.9279
14-10-2021,465,France,"Half-Finger Gloves, M",24.49,1.9592
14-10-2021,566,India,"Touring-3000 Blue, 58",742.35,59.388
16-10-2021,485,Germany,Fender Set - Mountain,21.98,1.7584
17-10-2021,596,Italy,"Mountain-500 Black, 40",539.99,43.1992
18-10-2021,390,United States,"Road-550-W Yellow, 48",1120.49,89.6392
20-10-2021,477,India,Water Bottle - 30 oz.,4.99,0.3992
21-10-2021,222,France,"Sport-100 Helmet, Blue",34.99,2.7992
21-10-2021,528,India,Mountain Tire Tube,4.99,0.3992
21-10-2021,222,Italy,"Sport-100 Helmet, Blue",34.99,2.7992
22-10-2021,490,Italy,"Short-Sleeve Classic Jersey, L",53.99,4.3192
23-10-2021,484,Germany,Bike Wash - Dissolver,7.95,0.636
25-10-2021,217,Australia,"Sport-100 Helmet, Black",34.99,2.7992
27-10-2021,536,India,ML Mountain Tire,29.99,2.3992
28-10-2021,584,India,"Road-750 Black, 58",539.99,43.1992
29-10-2021,484,Canada,Bike Wash - Dissolver,7.95,0.636
30-10-2021,592,France,"Mountain-500 Silver, 42",564.99,45.1992
30-10-2021,528,France,Mountain Tire Tube,4.99,0.3992
30-10-2021,465,France,"Half-Finger Gloves, M",24.49,1.9592
31-10-2021,311,United States,"Road-150 Red, 44",3578.27,286.2616
02-11-2021,225,Italy,AWC Logo Cap,8.99,0.7192
02-11-2021,477,Canada,Water Bottle - 30 oz.,4.99,0.3992
04-11-2021,596,Italy,"Mountain-500 Black, 40",539.99,43.1992
06-11-2021,225,France,AWC Logo Cap,8.99,0.7192
07-11-2021,472,India,"Classic Vest, M",63.5,5.08
07-11-2021,583,Germany,"Road-350-W Yellow, 48",1700.99,136.0792
09-11-2021,477,United States,Water Bottle - 30 oz.,4.99,0.3992
10-11-2021,355,Italy,"Mountain-200 Silver, 42",2319.99,185.5992
10-11-2021,339,Australia,"Road-650 Black, 44",782.99,62.6392
11-11-2021,490,India,"Short-Sleeve Classic Jersey, L",53.99,4.3192
11-11-2021,485,Italy,Fender Set - Mountain,21.98,1.7584
12-11-2021,477,Germany,Water Bottle - 30 oz.,4.99,0.3992
12-11-2021,225,Italy,AWC Logo Cap,8.99,0.7192
12-11-2021,538,France,LL Road Tire,21.49,1.7192
13-11-2021,217,Germany,"Sport-100 Helmet, Black",34.99,2.7992
13-11-2021,536,France,ML Mountain Tire,29.99,2.3992
13-11-2021,583,Canada,"Road-350-W Yellow, 48",1700.99,136.0792
14-11-2021,463,Australia,"Half-Finger Gloves, S",24.49,1.9592
14-11-2021,483,Canada,Hitch Rack - 4-Bike,120,9.6
15-11-2021,222,Australia,"Sport-100 Helmet, Blue",34.99,2.7992
17-11-2021,537,Italy,HL Mountain Tire,35,2.8
17-11-2021,541,France,Touring Tire,28.99,2.3192
18-11-2021,484,Italy,Bike Wash - Dissolver,7.95,0.636
21-11-2021,540,Canada,HL Road Tire,32.6,2.608
21-11-2021,479,Canada,Road Bottle Cage,8.99,0.7192
22-11-2021,473,United States,"Classic Vest, L",63.5,5.08
22-11-2021,539,Australia,ML Road Tire,24.99,1.9992
23-11-2021,529,France,Road Tire Tube,3.99,0.3192
23-11-2021,539,Australia,ML Road Tire,24.99,1.9992
24-11-2021,480,India,Patch Kit/8 Patches,2.29,0.1832
24-11-2021,479,Canada,Road Bottle Cage,8.99,0.7192
25-11-2021,214,India,"Sport-100 Helmet, Red",34.99,2.7992
26-11-2021,530,United States,Touring Tire Tube,4.99,0.3992
26-11-2021,484,Canada,Bike Wash - Dissolver,7.95,0.636
